id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
30559,NZES,small_airport,"Wharepapa South Airport",-38.14830017089844,175.5500030517578,443,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,,0,NZES,,,,,,50,2008-07-18T11:19:30+00:00
30010,NZKM,small_airport,"Karamea Airport",-41.236698150634766,172.10499572753906,30,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,,0,NZKM,,,,,,50,2008-07-18T11:00:51+00:00
429917,NZ-0045,small_airport,"Sandhills Airstrip",-35.05828,173.21385,85,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Awanui,0,,,,,,,50,2022-09-19T11:29:37+00:00
429924,NZ-0052,small_airport,"Broadwood Airstrip",-35.25414,173.37782,413,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Broadwood,0,,,,,,,50,2022-09-19T12:13:17+00:00
429925,NZ-0053,small_airport,"Pukemiro Airstrip",-35.24984,173.35164,599,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Broadwood,0,,,,,,,50,2022-09-19T12:14:14+00:00
429926,NZ-0054,small_airport,"Wairapakuru Airstrip",-35.25494,173.44751,640,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Broadwood,0,,,,,,,50,2022-09-19T12:15:55+00:00
429927,NZ-0055,small_airport,"Ngatieke Airstrip",-35.26833,173.4582,774,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Broadwood,0,,,,,,,50,2022-09-19T12:17:15+00:00
429929,NZ-0057,small_airport,"Paponga Airstrip",-35.290158,173.424514,723,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Broadwood,0,,,,,,,50,2022-09-19T12:20:42+00:00
429930,NZ-0058,small_airport,"Pawarenga Road Airstrip",-35.29625,173.36919,367,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Broadwood,0,,,,,,,50,2022-09-19T12:24:24+00:00
429931,NZ-0059,small_airport,"Runaruna Airstrip",-35.32377,173.33705,410,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Broadwood,0,,,,,,,50,2022-09-19T12:22:38+00:00
